id_orig,id_dest,date,pigs moved,type_orig,type_dest
17,8,8/20/15,160,finisher,sow farm
17,8,8/20/15,76,finisher,sow farm
17,14,9/11/15,155,finisher,nursery
12,8,9/12/15,177,nursery,sow farm
14,17,9/12/15,25,nursery,finisher
17,14,9/13/15,146,finisher,nursery
11,14,9/14/15,109,nursery,nursery
7,4,9/16/15,70,GDU,sow farm
17,8,9/17/15,170,finisher,sow farm
9,17,9/18/15,194,nursery,finisher
8,17,9/18/15,29,sow farm,finisher
8,7,9/20/15,185,sow farm,GDU
8,7,9/20/15,194,sow farm,GDU
8,7,9/20/15,48,sow farm,GDU
7,4,9/21/15,104,GDU,sow farm
1,22,9/21/15,107,sow farm,sow farm
1,4,9/21/15,185,sow farm,sow farm
1,4,9/21/15,25,sow farm,sow farm
8,7,9/21/15,74,sow farm,GDU
8,7,9/21/15,10,sow farm,GDU
8,7,9/21/15,100,sow farm,GDU
8,7,9/21/15,39,sow farm,GDU
8,7,9/21/15,145,sow farm,GDU
7,4,9/22/15,57,GDU,sow farm
8,7,9/22/15,120,sow farm,GDU
8,7,9/22/15,39,sow farm,GDU
1,12,9/22/15,181,sow farm,nursery
8,7,9/23/15,150,sow farm,GDU
8,7,9/23/15,54,sow farm,GDU
8,7,9/23/15,79,sow farm,GDU
8,7,9/23/15,19,sow farm,GDU
8,7,9/23/15,40,sow farm,GDU
8,7,9/23/15,31,sow farm,GDU
8,7,9/24/15,35,sow farm,GDU
8,7,9/24/15,36,sow farm,GDU
8,7,9/24/15,29,sow farm,GDU
8,7,9/24/15,75,sow farm,GDU
8,7,9/24/15,70,sow farm,GDU
8,7,9/24/15,178,sow farm,GDU
8,7,9/24/15,157,sow farm,GDU
8,7,9/24/15,60,sow farm,GDU
8,7,9/24/15,193,sow farm,GDU
8,7,9/24/15,38,sow farm,GDU
8,7,9/27/15,49,sow farm,GDU
12,8,10/3/15,65,nursery,sow farm
19,14,11/4/15,168,sow farm,nursery
19,14,11/4/15,22,sow farm,nursery
19,14,11/4/15,179,sow farm,nursery
19,14,11/4/15,151,sow farm,nursery
19,14,11/4/15,75,sow farm,nursery
19,14,11/4/15,87,sow farm,nursery
